symbol,timestamp,open,high,low,close,volume,interval
EURJPY,2025-02-24T18:30:00,157.039993,157.11,156.66,156.66,0.0,15m
EURJPY,2025-02-24T18:45:00,156.67,156.81,156.61,156.8,0.0,15m
EURJPY,2025-02-24T19:00:00,156.8,156.88,156.56,156.58,0.0,15m
EURJPY,2025-02-24T19:15:00,156.57001,156.60001,156.36,156.44,0.0,15m
EURJPY,2025-02-24T19:30:00,156.46001,156.57001,156.36,156.44,0.0,15m
EURJPY,2025-02-24T19:45:00,156.42999,156.67,156.41,156.60001,0.0,15m
EURJPY,2025-02-24T20:00:00,156.59,156.73,156.53999,156.69,0.0,15m
EURJPY,2025-02-24T20:15:00,156.7,156.77,156.57001,156.67,0.0,15m
EURJPY,2025-02-24T20:30:00,156.67,156.7,156.60001,156.69,0.0,15m
EURJPY,2025-02-24T20:45:00,156.67999,156.69,156.53,156.63,0.0,15m
EURJPY,2025-02-24T21:00:00,156.62,156.71001,156.57001,156.71001,0.0,15m
EURJPY,2025-02-24T21:15:00,156.7,156.75999,156.63,156.66,0.0,15m
EURJPY,2025-02-24T21:30:00,156.67,156.74001,156.64,156.67999,0.0,15m
EURJPY,2025-02-24T21:45:00,156.67999,156.82001,156.67999,156.81,0.0,15m
EURJPY,2025-02-24T22:00:00,156.81,156.87,156.78,156.78999,0.0,15m
EURJPY,2025-02-24T22:15:00,156.8,156.82001,156.7,156.71001,0.0,15m
EURJPY,2025-02-24T22:30:00,156.71001,156.78999,156.61,156.78999,0.0,15m
EURJPY,2025-02-24T22:45:00,156.78999,156.82001,156.73,156.75,0.0,15m
EURJPY,2025-02-24T23:00:00,156.74001,156.77,156.64999,156.72,0.0,15m
EURJPY,2025-02-24T23:15:00,156.72,156.78999,156.7,156.74001,0.0,15m
EURJPY,2025-02-24T23:30:00,156.74001,156.75999,156.67999,156.67999,0.0,15m
EURJPY,2025-02-24T23:45:00,156.67999,156.82001,156.64999,156.78999,0.0,15m
EURJPY,2025-02-25T00:00:00,156.78999,156.89,156.77,156.85001,0.0,15m
EURJPY,2025-02-25T00:15:00,156.85001,156.87,156.66,156.78,0.0,15m
EURJPY,2025-02-25T00:30:00,156.78,156.83,156.72,156.78999,0.0,15m
EURJPY,2025-02-25T00:45:00,156.8,156.89999,156.75999,156.75999,0.0,15m
EURJPY,2025-02-25T01:00:00,156.78,156.81,156.67,156.75,0.0,15m
EURJPY,2025-02-25T01:15:00,156.75,156.75,156.63,156.63,0.0,15m
EURJPY,2025-02-25T01:30:00,156.61,156.67999,156.33,156.34,0.0,15m
EURJPY,2025-02-25T01:45:00,156.35001,156.39999,156.14999,156.2,0.0,15m
EURJPY,2025-02-25T02:00:00,156.2,156.39999,156.14,156.39,0.0,15m
EURJPY,2025-02-25T02:15:00,156.39,156.42999,156.28999,156.32001,0.0,15m
EURJPY,2025-02-25T02:30:00,156.32001,156.37,156.21001,156.23,0.0,15m
EURJPY,2025-02-25T02:45:00,156.24001,156.31,156.089996,156.3,0.0,15m
EURJPY,2025-02-25T03:00:00,156.3,156.52,156.3,156.45,0.0,15m
EURJPY,2025-02-25T03:15:00,156.45,156.75,156.42999,156.67999,0.0,15m
EURJPY,2025-02-25T03:30:00,156.67999,156.83,156.66,156.83,0.0,15m
EURJPY,2025-02-25T03:45:00,156.83,156.84,156.7,156.72,0.0,15m
EURJPY,2025-02-25T04:00:00,156.72,156.77,156.67,156.73,0.0,15m
EURJPY,2025-02-25T04:15:00,156.73,156.8,156.73,156.75999,0.0,15m
EURJPY,2025-02-25T04:30:00,156.75999,156.82001,156.72,156.82001,0.0,15m
EURJPY,2025-02-25T04:45:00,156.82001,156.86,156.64,156.64999,0.0,15m
EURJPY,2025-02-25T05:00:00,156.64999,156.66,156.58,156.59,0.0,15m
EURJPY,2025-02-25T05:15:00,156.60001,156.69,156.59,156.64,0.0,15m
EURJPY,202EURGBP,2025-02-25T02:30:00,0.82910001,0.82950002,0.82EURJPY,2025-02-25T05:45:00,156.72,156.78,156.71001,156.78,0.0,15m
EURJPY,2025-02-25T06:00:00,156.78,156.88,156.78,156.86,0.0,15m
EURJPY,2025-02-25T06:15:00,156.86,156.86,156.73,156.81,0.0,15m
EURJPY,2025-02-25T06:30:00,156.82001,156.99001,156.82001,156.84,0.0,15m
EURJPY,2025-02-25T06:45:00,156.84,156.88,156.77,156.78999,0.0,15m
EURJPY,2025-02-25T07:00:00,156.78999,156.81,156.71001,156.8,0.0,15m
EURJPY,2025-02-25T07:15:00,156.8,156.85001,156.72,156.81,0.0,15m
EURJPY,2025-02-25T07:30:00,156.81,156.84,156.67999,156.69,0.0,15m
EURJPY,2025-02-25T07:45:00,156.67999,156.77,156.61,156.67999,0.0,15m
EURJPY,2025-02-25T08:00:00,156.69,156.75,156.64999,156.74001,0.0,15m
EURJPY,2025-02-25T08:15:00,156.74001,156.77,156.7,156.71001,0.0,15m
EURJPY,2025-02-25T08:30:00,156.71001,156.75,156.71001,156.73,0.0,15m
EURJPY,2025-02-25T08:45:00,156.73,156.74001,156.71001,156.72,0.0,15m
EURJPY,2025-02-25T09:00:00,156.71001,156.75,156.64,156.7,0.0,15m
EURJPY,2025-02-25T09:15:00,156.7,156.74001,156.69,156.72,0.0,15m
EURJPY,2025-02-25T09:30:00,156.73,156.75,156.67999,156.71001,0.0,15m
EURJPY,2025-02-25T09:45:00,156.71001,156.78,156.67999,156.75999,0.0,15m
EURJPY,2025-02-25T10:00:00,156.75,156.86,156.72,156.84,0.0,15m
EURJPY,2025-02-25T10:15:00,156.84,156.84,156.77,156.82001,0.0,15m
EURJPY,2025-02-25T10:30:00,156.83,156.83,156.71001,156.8,0.0,15m
EURJPY,2025-02-25T10:45:00,156.8,156.83,156.75,156.83,0.0,15m
EURJPY,2025-02-25T11:00:00,156.83,156.98,156.83,156.97,0.0,15m
EURJPY,2025-02-25T11:15:00,156.97,157.020004,156.94,156.99001,0.0,15m
EURJPY,2025-02-25T11:30:00,157.0,157.070007,156.98,157.050003,0.0,15m
EURJPY,2025-02-25T11:45:00,157.039993,157.13,157.0099945,157.10001,0.0,15m
EURJPY,2025-02-25T12:00:00,157.11,157.2,157.039993,157.17,0.0,15m
EURJPY,2025-02-25T12:15:00,157.17,157.24001,157.089996,157.12,0.0,15m
EURJPY,2025-02-25T12:30:00,157.13,157.17,157.0099945,157.050003,0.0,15m
EURJPY,2025-02-25T12:45:00,157.050003,157.12,157.020004,157.029999,0.0,15m
EURJPY,2025-02-25T13:00:00,157.029999,157.10001,157.020004,157.059998,0.0,15m
EURJPY,2025-02-25T13:15:00,157.050003,157.059998,156.97,157.0099945,0.0,15m
EURJPY,2025-02-25T13:30:00,157.0099945,157.039993,156.96001,157.020004,0.0,15m
EURJPY,2025-02-25T13:45:00,157.020004,157.020004,156.92999,156.95,0.0,15m
EURJPY,2025-02-25T14:00:00,156.94,156.99001,156.92,156.99001,0.0,15m
EURJPY,2025-02-25T14:15:00,156.99001,157.0,156.92999,156.96001,0.0,15m
EURJPY,2025-02-25T14:30:00,156.95,156.96001,156.75,156.75999,0.0,15m
EURJPY,2025-02-25T14:45:00,156.75999,156.81,156.7,156.75,0.0,15m
EURJPY,2025-02-25T15:00:00,156.75,156.8,156.66,156.67,0.0,15m
EURJPY,2025-02-25T15:15:00,156.67,156.72,156.63,156.64,0.0,15m
EURJPY,2025-02-25T15:30:00,156.64,156.67,156.56,156.59,0.0,15m
EURJPY,2025-02-25T15:45:00,156.60001,156.66,156.55,156.64,0.0,15m
EURJPY,2025-02-25T16:00:00,156.64,156.67999,156.62,156.64999,0.0,15m
EURJPY,2025-02-25T16:15:00,156.66,156.73,156.59,156.72,0.0,15m
EURJPY,2025-02-25T16:30:00,156.72,156.8,156.69,156.75999,0.0,15m
EURJPY,2025-02-25T16:45:00,156.75999,156.91,156.72,156.86,0.0,15m
EURJPY,2025-02-25T17:00:00,156.85001,156.89,156.75,156.81,0.0,15m
EURJPY,2025-02-25T17:15:00,156.81,156.97,156.78999,156.95,0.0,15m
EURJPY,2025-02-25T17:30:00,156.94,156.95,156.85001,156.92,0.0,15m
EURJPY,2025-02-25T17:45:00,156.92999,156.98,156.87,156.91,0.0,15m
EURJPY,2025-02-25T18:00:00,156.91,156.92999,156.62,156.63,0.0,15m
EURJPY,2025-02-25T18:15:00,156.63,156.72,156.49001,156.50999,0.0,15m
EURJPY,2025-02-25T18:30:00,156.50999,156.52,156.3,156.39999,0.0,15m
EURJPY,2025-02-25T18:45:00,156.39,156.44,156.2,156.22,0.0,15m
EURJPY,2025-02-25T19:00:00,156.21001,156.61,156.089996,156.59,0.0,15m
EURJPY,2025-02-25T19:15:00,156.59,156.59,156.41,156.42999,0.0,15m
EURJPY,2025-02-25T19:30:00,156.42999,156.49001,156.27,156.49001,0.0,15m
EURJPY,2025-02-25T19:45:00,156.49001,156.61,156.45,156.49001,0.0,15m
EURJPY,2025-02-25T20:00:00,156.49001,156.63,156.47,156.59,0.0,15m
EURJPY,2025-02-25T20:15:00,156.59,156.82001,156.58,156.78,0.0,15m
EURJPY,2025-02-25T20:30:00,156.78,156.83,156.7,156.73,0.0,15m
EURJPY,2025-02-25T20:45:00,156.73,156.78,156.64999,156.67999,0.0,15m
EURJPY,2025-02-25T21:00:00,156.67999,156.83,156.66,156.77,0.0,15m
EURJPY,2025-02-25T21:15:00,156.77,156.83,156.75,156.78999,0.0,15m
EURJPY,2025-02-25T21:30:00,156.8,156.86,156.72,156.86,0.0,15m
EURJPY,2025-02-25T21:45:00,156.86,156.88,156.74001,156.85001,0.0,15m
EURJPY,2025-02-25T22:00:00,156.85001,156.89,156.78,156.8,0.0,15m
EURJPY,2025-02-25T22:15:00,156.81,157.0,156.81,156.98,0.0,15m
EURJPY,2025-02-25T22:30:00,156.98,157.2,156.96001,157.10001,0.0,15m
EURJPY,2025-02-25T22:45:00,157.10001,157.16,157.059998,157.14,0.0,15m
EURJPY,2025-02-25T23:00:00,157.14,157.16,157.0099945,157.0099945,0.0,15m
EURJPY,2025-02-25T23:15:00,157.0099945,157.059998,156.95,156.97,0.0,15m
EURJPY,2025-02-25T23:30:00,156.97,157.020004,156.92999,156.99001,0.0,15m
EURJPY,2025-02-25T23:45:00,157.0,157.080002,156.92999,157.080002,0.0,15m
EURJPY,2025-02-26T00:00:00,157.080002,157.24001,157.070007,157.23,0.0,15m
EURJPY,2025-02-26T00:15:00,157.23,157.25,157.14999,157.21001,0.0,15m
EURJPY,2025-02-26T00:30:00,157.21001,157.31,157.070007,157.070007,0.0,15m
EURJPY,2025-02-26T00:45:00,157.059998,157.10001,156.89,156.91,0.0,15m
EURJPY,2025-02-26T01:00:00,156.92,156.98,156.73,156.75,0.0,15m
EURJPY,2025-02-26T01:15:00,156.75999,156.86,156.7,156.82001,0.0,15m
